city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
241,Vagur,FO,2022-06-04 18:42:20,61.4732,-6.8119,49.14,89,100,13.51
242,Mizan Teferi,ET,2022-06-04 18:42:21,6.9833,35.5833,60.08,96,61,3.18
243,Saint Anthony,US,2022-06-04 18:42:21,45.0205,-93.218,73.18,60,0,11.5
244,Zabaykalsk,RU,2022-06-04 18:42:22,49.6333,117.3167,53.91,81,100,18.43
245,Noumea,NC,2022-06-04 18:42:22,-22.2763,166.4572,71.01,99,12,4.29
246,Zarichne,UA,2022-06-04 18:42:23,51.8126,26.129,58.64,95,100,3.29
247,Balakhta,RU,2022-06-04 18:42:23,55.38,91.6,36.95,91,100,3.18
248,Muros,ES,2022-06-04 18:42:24,42.7762,-9.0603,67.84,79,6,9.1
249,Mujiayingzi,CN,2022-06-04 18:42:25,42.1167,118.7833,57.69,51,0,8.46
250,Hermanus,ZA,2022-06-04 18:42:25,-34.4187,19.2345,58.8,88,100,7.52
251,Kaeo,NZ,2022-06-04 18:42:26,-35.1,173.7833,50.32,96,100,4.63
252,Zhanaozen,KZ,2022-06-04 18:42:26,43.3,52.8,80.11,18,1,7.47
253,Nome,US,2022-06-04 18:42:27,64.5011,-165.4064,62.17,37,0,8.05
254,Berezhany,UA,2022-06-04 18:42:27,49.45,24.9333,60.66,95,99,3.02
255,Port Moresby,PG,2022-06-04 18:38:25,-9.4431,147.1797,74.62,100,20,3.44
256,Utica,US,2022-06-04 18:39:08,43.1009,-75.2327,70.74,49,0,3.0
257,Umm Kaddadah,SD,2022-06-04 18:42:28,13.6017,26.6876,86.9,23,100,3.58
258,Ntchisi,MW,2022-06-04 18:42:29,-13.5278,33.9149,52.07,62,15,2.37
259,Kahului,US,2022-06-04 18:42:18,20.8947,-156.47,78.96,71,40,11.5
260,Airai,TL,2022-06-04 18:42:30,-8.9266,125.4092,59.29,92,97,1.16
261,Hualmay,PE,2022-06-04 18:42:30,-11.0964,-77.6139,70.65,67,100,7.96
262,Taltal,CL,2022-06-04 18:42:31,-25.4,-70.4833,67.55,40,87,3.09
263,Lensk,RU,2022-06-04 18:42:31,60.7253,114.9278,49.73,85,5,3.87
264,Cherskiy,RU,2022-06-04 18:42:32,68.75,161.3,34.79,65,8,13.15
265,Oistins,BB,2022-06-04 18:42:32,13.0667,-59.5333,87.89,66,40,23.02
266,Banjar,ID,2022-06-04 18:42:33,-8.19,114.9675,76.93,90,26,2.98
267,Burnie,AU,2022-06-04 18:42:33,-41.0667,145.9167,54.23,86,100,27.89
268,Xinpu,CN,2022-06-04 18:42:34,34.5997,119.1594,68.68,94,100,5.68
269,Nioro,GM,2022-06-04 18:42:34,13.35,-15.75,90.93,44,89,17.34
270,Klaksvik,FO,2022-06-04 18:42:35,62.2266,-6.589,49.12,86,100,7.43
271,Vaasa,FI,2022-06-04 18:42:35,63.096,21.6158,57.29,71,0,8.05
272,Manzhouli,CN,2022-06-04 18:42:36,49.6,117.4333,54.27,80,100,17.56
273,Ahuimanu,US,2022-06-04 18:42:37,21.4447,-157.8378,80.31,62,40,9.22
274,Sitka,US,2022-06-04 18:42:37,57.0531,-135.33,55.29,76,75,20.71
275,Vila Velha,BR,2022-06-04 18:42:38,-20.3297,-40.2925,71.55,89,75,15.01
276,Luderitz,NA,2022-06-04 18:42:38,-26.6481,15.1594,62.96,53,0,8.9
